,SMILES,N2 permeability (barrer)
0,*/C(=C(/*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,560.0
1,*/C(=C(/*)c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,2.78
2,*/C(C)=C(/*)C(C)C,1330.0
3,*/C(C)=C(/*)[Si](C)(C)C,6300.0
4,*/C(C)=C(/*)c1ccccc1,21.0
5,*/C=C(/C*)C(=O)OCCOCCOCCOCC,2.0
6,*/C=C/C1CC(*)CC1[Si](C)(C)C,7.2
7,*/C=C/C1CC(*)CC1[Si](C)(C)C[Si](C)(C)C,3.7
8,*/C=C/C1CCC(*)C1,1.5
9,*/C=C/c1ccc(*)cc1[Si](C)(C)C(C)(C)C,1.5
10,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCC,1.1
11,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCCCCCC,3.9
12,*/C=C/c1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCC,4.5
13,*/C=C/c1ccc(*)cc1[Si](CC)(CC)CC,1.8
14,*=CC1CC(C=*)C(C(F)(F)F)(C(F)(F)F)C1(F)F,13.85
15,*=CC1CC(C=*)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C1(F)F,17.0
16,*=CC1CC(C=*)C([Si](C)(C)C)C1,8.95
17,*=CC1CC(C=*)C2C(=O)C(c3ccccc3)C(=O)C12,0.31
18,*=CC1CC(C=*)C2C(=O)N(C34CC5CC(CC(C5)C3)C4)C(=O)C12,0.5
19,*=CC1CC(C=*)C2C(=O)N(C3CCCC3)C(=O)C12,0.45
20,*=CC1CC(C=*)C2C(=O)N(C3CCCCC3)C(=O)C12,0.52
21,*=CC1CC(C=*)C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,1.55
22,*=CC1CC(C=*)C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,4.2
23,*=CC1CC(C=*)C2C(=O)N(c3ccccc3)C(=O)C12,0.31
24,*=CC1CC(C=*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,100.0
25,*=CC1CC(C=*)C2C1CC2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,55.0
26,*=CC1CC[C@@H](/C=C/C2CCC(/C=C/[C@@H]3CCC(C=*)C3)C2)C1,0.7
27,*=CC1CC[C@@H](/C=C/C2CCC(/C=C/[C@H]3CCC(C=*)C3)C2)C1,2.2
28,*=CC1OC(C=*)C2C(=O)N(c3c(F)c(F)c(F)c(F)c3F)C(=O)C12,1.08
29,*C(=C(*)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1)c1ccccc1,70.5
30,*C(=C(*)c1ccc(-c2ccc([Si](C)(C)C)cc2)cc1)c1ccccc1,160.0
31,*C(=C(*)c1ccc(-c2ccccc2)cc1)c1ccccc1,65.0
32,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O)cc1,23.0
33,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,210.0
34,*C(=C(*)c1ccc(C(C)(C)C)cc1)c1ccccc1,930.0
35,*C(=C(*)c1ccc(C(C)C)cc1)c1ccccc1,150.0
36,*C(=C(*)c1ccc(CCCC)cc1)c1ccccc1,11.0
37,*C(=C(*)c1ccc(C[Si](C)(C)C)cc1)c1ccccc1,44.0
38,*C(=C(*)c1ccc(O[Si](C)(C)C(C)(C)C)cc1)c1ccc(F)cc1,55.0
39,*C(=C(*)c1ccc([Si](C(C)C)(C(C)C)C(C)C)cc1)c1ccccc1,130.5
40,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,250.0
41,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccc(O[Si](C)(C)C(C)(C)C)cc1,390.0
42,*C(=C(*)c1ccc([Si](C)(C)C)cc1)c1ccccc1,537.5
43,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)(C)C)cc1,7.5
44,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(C(C)C)cc1,9.1
45,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccc(CCCC)cc1,7.9
46,*C(=C(*)c1ccc([Si](C)(C)CCCCCCCC)cc1)c1ccccc1,11.0
47,*C(=C(*)c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,10200.0
48,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,13100.0
49,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,9200.0
50,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,4100.0
51,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,9200.0
52,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,16600.0
53,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,15600.0
54,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1cccc(F)c1,12000.0
55,*C(=C(*)c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,11600.0
56,*C(=C(*)c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,2700.0
57,*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc(Br)ccc1-2)c1ccccc1,1100.0
58,*C(=C(*)c1ccc2c(c1)C(C)(C)c1cc([Si](C)(C)C)ccc1-2)c1ccccc1,3400.0
59,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cc(F)cc(F)c1,1700.0
60,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(Br)cc1,3500.0
61,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(C(C)(C)C)cc1,2500.0
62,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)c(F)c1,5100.0
63,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc(F)cc1,4700.0
64,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,200.0
65,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1cccc(F)c1,4200.0
66,*C(=C(*)c1ccc2c(c1)C(C)(C)c1ccccc1-2)c1ccccc1,3780.0
67,*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccc([Si](C)(C)C)cc1,540.0
68,*C(=C(*)c1ccc2c(c1)C1(CC1)c1ccccc1-2)c1ccccc1,490.0
69,*C(=C(*)c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,170.0
70,*C(=C(*)c1ccc2c(c1)CCC2)c1ccccc1,30.0
71,*C(=C(*)c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,950.0
72,*C(=C(*)c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,1300.0
73,*C(=C(*)c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,190.0
74,*C(=C(*)c1ccc2c(ccc3ccccc32)c1)c1ccccc1,650.0
75,*C(=C(*)c1cccc(O)c1)c1ccc(C(C)(C)C)cc1,210.0
76,*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc(C(C)(C)C)cc1,1300.0
77,*C(=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1)c1ccc([Si](C)(C)C)cc1,430.0
78,*C(=C(*)c1cccc([Si](C)(C)C)c1)c1ccccc1,610.0
79,*C(=C(*)c1ccccc1)c1ccccc1,2720.0
80,*C(=O)Oc1ccc(C(C)(C)c2ccc(OC(=O)c3ccc4c(c3)-c3nc5ccc(Oc6ccc7c(c6)-c6nc8cc(*)ccc8n6C7=O)cc5n3C4=O)cc2)cc1,0.0585
81,*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(C(=O)c7ccc(Oc8ccc(*)cc8)cc7)cc6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,0.0729
82,*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6ccc(Oc7ccc(*)cc7)cc6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,0.0986
83,*C(=O)c1ccc(C2(c3ccc(C(=O)c4ccc(Oc5ccc(C(=O)c6cccc(C(=O)c7ccc(Oc8ccc(*)cc8)cc7)c6)cc5)cc4)cc3)OC(=O)c3ccccc32)cc1,0.031
84,*C(C(=O)OC(C)C)C(*)C(=O)OC(C)(C)C,9.0
85,*C(C(=O)OC(C)C)C(*)C(=O)OC(C)CC,5.0
86,*C(C(=O)OC(C)C)C(*)C(=O)OC(C)CC(C)C,14.0
87,*C(C(=O)OC(C)C)C(*)C(=O)OC1CCCCC1,3.0
88,*C(C(=O)OC(C)CC(C)C)C(*)C(=O)OC(C)(C)C,16.0
89,*C(C(=O)OC(C)CC)C(*)C(=O)OC(C)(C)C,13.0
90,*C(C(=O)OC1CCCCC1)C(*)C(=O)OC(C)(C)C,5.0
91,*C(C)=C(*)C(C)C,937.5
92,*C(C)=C(*)CC(C)C,93.0
93,*C(C)=C(*)CCC,12.0
94,*C(C)=C(*)CCC(C)C,51.0
95,*C(C)=C(*)CCCCC,21.0
96,*C(C)=C(*)CCCCCC,23.0
97,*C(C)=C(*)CCCCCCC,29.0
98,*C(C)=C(*)CCCCCCCC,29.0
99,*C(C)=C(*)SCC,9.0
100,*C(C)=C(*)SCCCC,18.0
101,*C(C)=C(*)SCCCCCC,14.0
102,*C(C)=C(*)SCCCCCCCC,19.0
103,*C(C)=C(*)SCCCCCCCCCC,16.0
104,*C(C)=C(*)[Ge](C)(C)C,1000.0
105,*C(C)=C(*)[Si](C)(C)C,5903.846153846154
106,*C(C)=C(*)[Si](C)(C)C(C)C,170.0
107,*C(C)=C(*)[Si](C)(C)CC,490.0
108,*C(C)=C(*)[Si](C)(C)CCC,21.0
109,*C(C)=C(*)[Si](C)(C)CCCC,8.0
110,*C(C)=C(*)[Si](C)(C)CCCCCCCC,19.0
111,*C(C)=C(*)[Si](C)(C)c1ccccc1,1.2
112,*C(C)=C(*)c1ccc([Si](C)(C)C)cc1,100.0
113,*C(C)=C(*)c1ccccc1,3.5
114,*C(Cl)=C(*)c1ccccc1,1.7
115,*C(Cl)CCCC(*)S(=O)(=O)Cl,0.9550000000000001
117,*C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)S(=O)(=O)O)C(*)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.39999999999999997
118,*C(F)(F)C(F)(F)C(F)(OC(F)(F)F)C(*)(F)F,1.5
119,*C(F)(F)C(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)OC1(*)F,635.0
120,*C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)C(*)(F)F,5.0
121,*C/C=C(/C*)[Si](C)(C)OC(C)C,1.5
122,*C/C=C(/C*)[Si](C)(OC(C)C)OC(C)C,25.4
123,*C/C=C(/C*)[Si](OC(C)C)(OC(C)C)OC(C)C,109.0
124,*C1=CCC(*)=[NH+]1.O=[N+]([O-])[O-],0.16
125,*C1C(*)C2CC1C1C2C([Si](C)(C)C)C1[Si](C)(C)C,1240.0
126,*C1C(*)C2CC1C1CC([Ge](C)(C)C)C21,240.0
127,*C1C(*)C2CC1C1CC([Si](C)(C)C)C21,390.0
128,*C1C(*)C2CC1C1CC([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C21,420.0
129,*C1C2CC(C)C(C2)C1*,24.1
130,*C1C2CC(C1*)C([Si](C)(C)C)C2,355.0
131,*C1C2CC(CCCC)C(C2)C1*,11.2
132,*C1C2CC(CCCCCCCCCC)C(C2)C1*,8.7
133,*C1C2CCC(C2)C1*,1.5
134,*C=C(*)C(C)(C)C,71.5
135,*C=C(*)[Si](C)(C)C,9.5
136,*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,7.6
137,*C=C(*)c1ccccc1[Ge](C)(C)C,55.0
138,*C=C(*)c1ccccc1[Si](C)(C)C,24.0
139,*C=C(C*)C(=O)OCCOCC,0.385
140,*C=C(C*)C(=O)OCCOCCOCC,3.6
141,*C=CCCC*,100.0
142,*CC(*)(C)C(=O)OC,0.009774999999999999
143,*CC(*)(C)C(=O)OC(C)(C)C,0.768
144,*CC(*)(C)C(=O)OCC,0.326
145,*CC(*)(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,15.0
146,*CC(*)(C)c1ccccc1,0.15
147,*CC(*)(F)F,0.0223
148,*CC(*)C,0.5
149,*CC(*)C#N,0.00016
150,*CC(*)C(=O)OC,0.2135
151,*CC(*)C(=O)OCC,6.46
152,*CC(*)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,54.0
153,*CC(*)C(=O)OCCCCCCCCCC,19.0
154,*CC(*)C(=O)OCCCCCCCCCCCCCC,22.1
155,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,29.1
156,*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,36.0
158,*CC(*)Cl,0.012275
159,*CC(*)OC(=O)c1ccc(C)cc1,0.339
160,*CC(*)OC(=O)c1cccc(C)c1,0.0875
161,*CC(*)OC(=O)c1ccccc1C,0.0859
162,*CC(*)OC1C2CC3CC(C2)CC1C3,1.69
163,*CC(*)OC1CC2CC1C1CCCC21,1.2
164,*CC(*)OC1CC2CCC1C2,0.96
165,*CC(*)OC1CCCCC1,0.99
166,*CC(*)OCC1CC2CC1C1CCCC21,0.13
167,*CC(*)OCC1CCCCC1,0.46
168,*CC(*)OCc1ccccc1,0.79
169,*CC(*)[Si](C)(C)C,11.0
170,*CC(*)[Si](C)(C)c1ccccc1,0.45
171,*CC(*)c1ccc(Br)cc1,0.32
172,*CC(*)c1ccc(C(C)(C)C)cc1,8.4
173,*CC(*)c1ccc(C([Si](C)(C)C)[Si](C)(C)C)cc1,10.1
174,*CC(*)c1ccc(C)cc1,1.5
175,*CC(*)c1ccc(C[Si](C)(C)C)cc1,25.8
176,*CC(*)c1ccc(Cl)cc1,0.23
177,*CC(*)c1ccc(F)cc1,0.83
178,*CC(*)c1ccc(O)cc1,0.015
179,*CC(*)c1ccc(OC(C)=O)cc1,0.64
180,*CC(*)c1ccc(OC)cc1,0.61
181,*CC(*)c1ccc([Si](C)(C)C)cc1,16.0
182,*CC(*)c1ccc([Si](C)(C)CCC(F)(F)F)cc1,11.8
183,*CC(*)c1ccccc1,0.5166666666666667
184,*CC(*)c1ccncc1,0.125
185,*CC(C#N)(C#N)CC(*)OC(C)=O,0.0124
186,*CC(C)=C(C)C*,0.472
187,*CC(CCl)O*,0.44
189,*CC(O)COc1ccc(C(C)(C)c2ccc(O*)cc2)cc1,0.015
190,*CC*,0.8882857142857142
191,*CC1CC(C*)C2C1C([Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C)C2[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,75.0
192,*CC=C(C)C*,8.75
193,*CC=C(Cl)C*,2.0700000000000003
194,*CC=CC*,15.760000000000002
195,*CCCCCC(=O)O*,0.59
197,*CCC[Si](*)(C)C,3.0
198,*CCO*,0.25
200,*CCOC(=O)c1ccc2cc(C(=C)O*)ccc2c1,0.0017
204,*CC[Si](C)(C)CC[Si](C)(C)c1ccc([Si](*)(C)C)cc1,0.257
205,*CO*,0.024
206,*C[Si](*)(C)C,39.63333333333333
207,*Cc1cc(Cl)c(C*)cc1Cl,0.0271
208,*Cc1ccc(C*)c(Br)c1,0.00061
210,*Cc1ccc(C*)c(C)c1,0.0157
211,*Cc1ccc(C*)c(CC)c1,0.0904
212,*Cc1ccc(C*)c(Cl)c1,0.006625
213,*Cc1ccc(C*)cc1,0.0492
214,*Cc1ccc(C2(c3ccc(*)cc3)OC(=O)c3ccccc32)cc1,2.391
215,*N=C1C=CC(=Nc2ccc(Nc3ccc(Nc4ccc(*)cc4)cc3)cc2)C=C1,0.015425
216,*N=C1C=CC(=Nc2ccc(Nc3ccc(Nc4ccc(*)cc4OC)cc3OC)cc2OC)C=C1OC,0.047
217,*N=C1C=CC(=Nc2ccc(Nc3ccc(Nc4ccc(*)cc4OCC)cc3OCC)cc2OCC)C=C1OCC,0.107
218,*N=P(*)(C)C,1.27
219,*N=P(*)(C)c1ccccc1,0.6
220,*N=P(*)(OC(C)CC)OC(C)CC,13.4
221,*N=P(*)(OCC(C)(C)C)OCC(C)(C)C,3.46
222,*N=P(*)(OCC(C)C)OCC(C)C,31.7
223,*N=P(*)(OCC(F)(F)F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,25.52
224,*N=P(*)(OCC(F)(F)F)OCC(F)(F)F,33.873333333333335
225,*N=P(*)(OCCCC)OCCCC,55.9
226,*N=P(*)(OCCOCCOC)OCCOCCOC,4.0
227,*N=P(*)(Oc1ccc(Br)cc1)Oc1ccc(Br)cc1,0.18
228,*N=P(*)(Oc1cccc(C(C)(C)C)c1)Oc1cccc(C(C)(C)C)c1,2.4
229,*N=P(*)(Oc1ccccc1)Oc1ccccc1,1.3866666666666667
230,*N=P(N=P(*)(Cl)Oc1cc(C(C)C)cc(C(C)C)c1)(Oc1cc(C(C)C)cc(C(C)C)c1)Oc1cc(C(C)C)cc(C(C)C)c1,3.0
231,*NC(=O)c1ccc(C(c2ccc(C(=O)O)c(C(=O)Nc3c(C)cc(C)c(*)c3C)c2)(C(F)(F)F)C(F)(F)F)cc1C(=O)O,30.1
232,*NC(=O)c1ccc(C(c2ccc(C(=O)O)c(C(=O)Nc3cc(Oc4ccc(*)c(N)c4)ccc3N)c2)(C(F)(F)F)C(F)(F)F)cc1C(=O)O,0.17
233,*NC(=O)c1ccc2c(c1)C(=O)N(c1c(C)cc(C)c(*)c1C)C2=O,0.499
234,*NC(=O)c1ccc2c(c1)C(=O)N(c1c(CC)cc(CC)c(*)c1C)C2=O,1.12
235,*NC(=O)c1ccc2c(c1)C(=O)N(c1cccc(*)c1)C2=O,0.0063
238,*Nc1c(C)cc(C(C)(C)c2cc(C)c(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)c(C)c2)cc1C,1.73
239,*Nc1c(C)cc(Cc2cc(C)c(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)c(C(C)C)c2)cc1C(C)C,1.18
240,*Nc1cc(C(c2ccc(O)c(NC(=O)c3ccc(C(c4ccc(C(*)=O)cc4)(C(F)(F)F)C(F)(F)F)cc3)c2)(C(F)(F)F)C(F)(F)F)ccc1O,0.59
241,*Nc1ccc(-c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2C(F)(F)F)c(C(F)(F)F)c1,1.3
242,*Nc1ccc(C(=O)c2ccc(NC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)cc2)cc1,0.23
244,*Nc1ccc(C(C)(C)c2ccc(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)c(C)c2)cc1C,0.81
245,*Nc1ccc(C(C)(C)c2ccc(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)cc2)cc1,0.46
246,*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(-c4ccccc4)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.2
247,*Nc1ccc(C(c2ccc(NC(=O)c3cc(C(*)=O)cc(C(C)(C)C)c3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.06
248,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(Oc4cc(C(C)(C)C)c(Oc5ccc(C(*)=O)cc5)cc4C(C)(C)C)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.51
249,*Nc1ccc(C(c2ccc(NC(=O)c3ccc4c(c3)C(C)(C)CC4(C)c3ccc(C(*)=O)cc3)cc2)(C(F)(F)F)C(F)(F)F)cc1,1.36
